rec,rep,D,D_ends,D_theory,R,R_theory,R_theory2,H,kernelpixelVar,r_PixVar_rgb,g_PixVar_rgb,b_PixVar_rgb,y_PixVar_ycrcb,gray_PixVar_grayscale,h_PixVar_hsv,l_PixVar_lab,l_PixVar_luv,x_PixVar_xyz,y_PixVar_yuv,cr_PixVar_ycrcb,s_PixVar_hsv,a_PixVar_lab,u_PixVar_luv,y_PixVar_xyz,u_PixVar_yuv,cb_PixVar_ycrcb,v_PixVar_hsv,b_PixVar_lab,v_PixVar_luv,z_PixVar_xyz,v_PixVar_yuv,D_sfm,R_sfm,H_sfm
Reef_41_2022_05_17_SFM_4_05_DEM,7,2.310616614,2.296365284,2.296365284,1.117737976,1.019041593,1.03377015,0.198561506,6439.905952,3891.586424,4468.94494,4542.35947,16.32696051,4267.064435,4491.378185,15.94768161,32.03640045,5269.894506,60.24596546,40.00556797,1888.034921,20.05115854,19.56735348,4321.833256,12.63928224,4267.071472,239.905352,4527.554112,4521.711031,3782.084524,4267.071472,2.40891664,2.524717954,0.670515853
Reef_41_2022_05_17_SFM_4_05_DEM,8,2.291314741,2.282892843,2.282892843,1.103189554,1.012413553,1.027285517,0.167708665,6787.206747,3631.9545,4109.946233,4232.716039,12.02191616,3952.883721,4214.126096,11.80341175,28.02812314,4923.389527,44.29096284,29.48054491,2341.440932,16.22415427,16.23193034,3994.591644,9.35680303,3952.893691,98.35029134,4161.230924,4156.936887,3515.875676,3952.893691,2.400587617,2.393393872,0.615007557
Reef_41_2022_05_17_SFM_4_05_DEM,9,2.220565152,2.199257871,2.199257871,1.498652886,1.048277949,1.171699126,0.445862412,6901.151499,1476.63999,1520.368554,1689.002911,9.627862712,1512.781266,1534.086225,9.883909324,20.69106048,1962.949487,18.68754603,12.52433536,214.7171218,9.1628314,7.251835814,1512.467135,6.461456705,1512.788774,193.9285626,1431.788556,1431.483778,1369.978256,1512.788774,2.157130591,1.71019723,0.783754795
Reef_41_2022_05_17_SFM_4_05_DEM,10,2.264831302,2.230883007,2.230883007,1.236330179,1.035239212,1.068099564,0.340292411,6677.420989,3531.603677,4033.642844,4166.726287,14.65797383,3866.173314,4056.65405,15.19727588,28.41166447,4860.015129,49.95318005,33.17008394,1174.219802,20.18223705,17.73471136,3910.704271,10.73060957,3866.200721,353.4328042,4043.625423,4039.586304,3434.743255,3866.200721,2.417965326,2.571030328,0.630280252
Reef_41_2022_05_17_SFM_4_05_DEM,11,2.28315754,2.247753326,2.247753326,1.223914208,1.027622678,1.066639262,0.283638734,7017.322788,3909.958246,4739.489082,4913.545739,16.31861629,4474.010187,4847.761637,14.77483459,29.49087833,5622.087477,60.13284284,39.95218271,1349.629255,18.64699922,21.06753027,4545.923473,12.5321938,4474.017098,242.3803069,4722.430878,4716.990725,3944.834678,4474.017098,2.396751179,2.50254409,0.688947247
Reef_41_2022_05_17_SFM_4_05_DEM,12,2.34498098,2.340658913,2.340658913,1.128568935,1.019275982,1.034461563,0.17135956,6671.157185,3692.136132,4344.413313,4530.104487,16.50695798,4137.337236,4466.269386,15.2665568,30.11322529,5213.903658,53.02013058,35.24266024,1851.647535,15.30485763,19.41127248,4192.856305,12.66814936,4137.359328,180.4612134,4368.217819,4363.241716,3663.106458,4137.359328,2.40471606,2.366486214,0.634032471
Reef_41_2022_05_17_SFM_4_05_DEM,13,2.221171622,2.175940169,2.175940169,2.541737161,1.251308707,1.692340771,1.156245204,6006.092387,1153.624824,1100.406123,1149.5639,24.29865152,1103.401157,1095.556479,23.96806393,47.00006259,1341.70957,18.78835591,12.59100322,197.7883432,7.5479621,6.583071866,1101.944321,18.05437683,1103.389061,157.480652,1000.662825,1000.375376,1000.240251,1103.389061,2.026023044,1.703999611,1.614486902
Reef_41_2022_05_17_SFM_4_05_DEM,14,2.289029855,2.261307514,2.261307514,1.479364962,1.082494966,1.161050082,0.473962189,6265.575679,2316.558658,2564.278349,2611.301588,10.96157341,2473.709313,2579.754509,10.72755461,22.54218748,3068.240522,33.41574883,22.27040161,938.874754,11.5852985,11.84617835,2497.530146,8.519749158,2473.717785,59.42316742,2521.804017,2520.087388,2203.440175,2473.717785,2.228052502,1.717739283,0.611336937
Reef_41_2022_05_17_SFM_4_05_DEM,15,2.318419477,2.322827279,2.322827279,1.335197933,1.04784366,1.101100854,0.28920255,6752.682083,2206.574476,2334.868619,2404.018461,10.31982884,2284.519161,2363.175334,10.16543721,21.93725554,2811.809665,29.64367968,19.76039138,788.5610915,10.67940766,10.18635428,2297.202032,8.043029265,2284.539665,41.14957432,2264.343158,2263.094366,2049.001688,2284.539665,2.283657529,1.933002137,0.627780302
Reef_41_2022_05_17_SFM_4_05_DEM,16,2.331942169,2.325048197,2.325048197,1.20799669,1.025517877,1.054080929,0.208443815,6990.407185,3070.420752,3506.521626,3760.76817,14.05718214,3380.156206,3598.813978,13.45958596,23.92030582,4305.909902,38.41699873,25.56538321,988.9657209,11.02897869,13.58331113,3412.998768,10.60399652,3380.181578,217.6145315,3442.952906,3440.007958,3011.748798,3380.181578,2.344923685,2.184608026,0.662616433
